,Unnamed: 0,0,1,2,3,4,5,6,7,8,9,first_three_cols
2955,"r. Akinwumi A. Adesina President, African Development Bank Group Extra-ordinary Summit of the African Union on Industrialization, Economic Diversification, and the African Continental Free Trade Area.txt",african,development,bank,africa,trade,billion,free,must,continental,manufacturing,african development  bank
157, Speech of Professor Wole Soyinka delivered to mark anniversary of Nigerian Civil War  .txt,african,human,even,two,us,nation,course,consider,humanity,wisdom,african human  even
892,Complete speech of Professor Wole Soyinka delivered to mark anniversary of Nigerian Civil War  .txt,african,human,even,two,us,nation,course,consider,humanity,wisdom,african human  even
825,"CHINUA ACHEBE, THE DUTY AND INVOLVEMENT OF THE AFRICAN WRITER.txt",african,nigeria,africa,people,one,freedom,country,writer,man,true,african nigeria  africa
2578,THE DUTY AND INVOLVEMENT OF THE AFRICAN WRITER.txt,african,nigeria,africa,people,freedom,one,country,writer,man,true,african nigeria  africa
271,"(1968) CHINUA ACHEBE, “THE DUTY AND INVOLVEMENT OF THE AFRICAN WRITER” POSTED ONAPRIL 17, 2009BY.txt",african,nigeria,africa,people,freedom,one,country,writer,man,true,african nigeria  africa
257,(1959) NNAMDI AZIKIWE SPEAKS ON THE ROLE OF NIGERIA AND OTHER AFRICAN STATES IN WORLD POLITICS.txt,african,nigeria,would,africa,states,social,political,economic,neighbours,people,african nigeria  would
256,"(1959) NNAMDI AZIKIWE SPEAKS ON THE ROLE OF NIGERIA AND OTHER AFRICAN STATES IN WORLD POLITICS POSTED ONSEPTEMBER 2, 2009.txt",african,nigeria,would,states,africa,social,political,integration,economic,neighbours,african nigeria  would
2056,President Buhari’s Acceptance Speech of the 2021 Trophee Babachar Ndiaye.txt,african,trans,highway,nigeria,lagos,major,support,report,bridge,republic,african trans  highway
103, President Buhari’s Acceptance Speech of the 2021 Trophee Babachar Ndiaye.txt,african,trans,highway,nigeria,lagos,major,support,report,bridge,republic,african trans  highway
264,"(1963) SIR ABUBAKAR TAFAWA BALEWA, “ADDIS ABABA”.txt",african,us,different,nigeria,africa,unity,many,countries,common,would,african us  different
263,"(1963) SIR ABUBAKAR TAFAWA BALEWA, “ADDIS ABABA” POSTED ONAUGUST 20, 2009BY.txt",african,us,different,nigeria,africa,unity,many,countries,common,would,african us  different
2251,"SIR ABUBAKAR TAFAWA BALEWA, ADDIS ABABA.txt",african,us,different,unity,nigeria,africa,many,countries,common,would,african us  different
268,"(1964) NELSON MANDELA, “I AM PREPARED TO DIE” POSTED ONJANUARY 26, 2009BY.txt",african,would,political,anc,africans,people,south,white,government,umkhonto,african would  political
289,1278_mandelaIdeal.txt,african,would,political,anc,africans,people,south,white,government,africa,african would  political
722,Banquet speech.txt,alfred,world,especially,yoruba,lyric,time,swedish,ogun,might,ladies,alfred world  especially
2903,Wole Soyinka Banquet speech.txt,alfred,world,especially,yoruba,lyric,time,swedish,ogun,might,ladies,alfred world  especially
2392,Soyinka Banquet Speech.txt,alfred,world,especially,yoruba,lyric,time,swedish,ogun,might,ladies,alfred world  especially
2393,Soyinka Banquet speech.txt,alfred,world,especially,yoruba,lyric,time,swedish,ogun,might,ladies,alfred world  especially
1612,LETTER FROM VICTOR BANJO TO AQUIYI IRONSI  JUNE 1966.txt,army,officers,one,arrest,january,military,kirikiri,colleagues,soldiers,facts,army officers  one
1639,Letter from Victor Banjo to Aguiyi Ironsi By Lt Colonel Victor A Banjo.txt,army,officers,one,major,military,arrest,january,federal,prisons,colonel,army officers  one
84, My Speech at the 2015 Babcock University Post-Graduate Ceremony. Tony Elumelu.txt,bank,also,many,learned,next,one,like,postgraduate,could,world,bank also  many
1010,"Employee, Employer & Empowerer: Pathways to Success and Impact in an Uncertain World- My Speech at the 2015 Babcock University Post-Graduate Ceremony..txt",bank,also,many,learned,next,one,like,postgraduate,could,world,bank also  many
2254,"SPECIAL REMARKS DELIVERED BY GENERAL YAKUBU GOWON, GCFR AT THE FIRST EVER EXTRA-ORDINARY FELLOWSHIP INVESTITURE OF THE CHARTERED INSTITUTE OF BANKERS OF NIGERIA HELD AT FEDERAL PALACE HOTEL, VICTORIA ISLAND, LAGOS..txt",banking,industry,institute,fellowship,ethical,one,finance,investiture,nigeria,members,banking industry  institute
2253,"SPECIAL REMARKS DELIVERED BY GENERAL YAKUBU GOWON, GCFR AT THE FIRST EVER EXTRA-ORDINARY FELLOWSHIP INVESTITURE OF THE CHARTERED INSTITUTE OF BANKERS OF NIGERIA HELD AT FEDERAL PALACE HOTEL, VICTORIA ISLAND, LAGOS ON MAY 16, 2019.txt",banking,industry,institute,fellowship,ethical,one,finance,investiture,nigeria,members,banking industry  institute
2261,"SPEECH BY DR SAMUEL ORTOM, BENUE STATE GOVERNOR- ELECT DURING A COURTESY VISIT TO PRESIDENT-ELECT, GEN MUHAMMADU BUHARI ON WEDNESDAY, MAY 13TH, 2015, IN ABUJA..txt",benue,state,us,nigerian,would,people,therefore,power,economic,excellency,benue state  us
1378,Hyacinth Alia’s Inaugural Speech as Benue governor.txt,benue,state,us,development,government,shall,work,public,would,federal,benue state  us
457,"ADDRESS BY HIS EXCELLENCY, PRESIDENT MUHAMMADU BUHARI, PRESIDENT FEDERAL REPUBLIC OF NIGERIA AT THE SIGNING OF ELECTORAL BILL 2022 INTO LAW.txt",bill,political,section,electoral,constitutional,serving,office,holders,constitution,national,bill political  section
117, President Buhari’s Speech at the Signing of Electoral Bill 2022.txt,bill,political,section,electoral,constitutional,serving,office,holders,constitution,national,bill political  section
128, President Tinubu's Speech On The Current Economic Challenges.txt,billion,economy,subsidy,money,also,economic,people,states,sector,fund,billion economy  subsidy
168," Text of the National Broadcast by President Tinubu to Nigerians on Current Economic Challenges July 31, 2023.txt",billion,economy,subsidy,money,also,economic,people,states,sector,fund,billion economy  subsidy
489,AFTER DARKNESS COMES THE GLORIOUS DAWN.txt,billion,economy,subsidy,money,also,economic,people,states,sector,fund,billion economy  subsidy
906,Current Economic Challenges.txt,billion,economy,subsidy,money,also,economic,people,states,sector,fund,billion economy  subsidy
2298,"SPEECH BY THE SECRETARY TO THE GOVERNMENT OF THE FEDERATION, BOSS MUSTAPHA, ON THE OCCASION OF THE INAUGURATION OF THE BOARDS OF PARASTATALS UNDER THE OFFICE OF THE SECRETARY TO THE GOVERNMENT OF THE FEDERATION ON TUESDAY 27TH FEBRUARY, 2018 AT THE SHEHU SHAGARI COMPLEX.txt",boards,government,agencies,commission,federal,national,governing,public,ensure,management,boards government  agencies
2297,"SPEECH BY THE SECRETARY TO THE GOVERNMENT OF THE FEDERATION, BOSS MUSTAPHA, ON THE OCCASION OF THE INAUGURATION OF THE BOARDS OF PARASTATALS UNDER THE OFFICE OF THE SECRETARY TO THE GOVERNMENT OF THE FEDERATION AT THE SHEHU SHAGARI COMPLEX.txt",boards,government,agencies,commission,federal,national,governing,public,ensure,management,boards government  agencies
1332,"HIS EXCELLENCY, MR. AKINWUNMI AMBODE, AT THE LAGOS BOAT REGATTA FESTIVAL ON APRIL 1, 2018.txt",boat,water,waterways,asset,must,lagos,parade,protocols,coastal,develop,boat water  waterways
448,"ADDRESS BY HIS EXCELLENCY, MR. AKINWUNMI AMBODE, AT THE LAGOS BOAT REGATTA FESTIVAL ON APRIL 1, 2018.txt",boat,water,waterways,lagos,parade,gives,great,pleasure,join,edition,boat water  waterways
2131,"REMARKS BY FEMI GBAJABIAMILA ON THE PRESENTATION OF THE 2021 APPROPRIATION BILL BY THE PRESIDENT OF THE FEDERAL REPUBLIC OF NIGERIA, HIS EXCELLENCY, PRESIDENT MUHAMMADU BUHARI, GCFR TO THE NATIONAL ASSEMBLY. 8TH OCTOBER, 2020..txt",budget,house,nigerian,must,president,proposal,thank,commitment,legislature,behalf,budget house  nigerian
2161,"REMARKS BY THE SPEAKER OF THE HOUSE OF REPRESENTATIVES, REP. FEMI GBAJABIAMILA ON THE OCCASION OF THE PRESENTATION OF THE 2021 APPROPRIATION BILL BY THE PRESIDENT OF THE FEDERAL REPUBLIC OF NIGERIA, HIS EXCELLENCY, PRESIDENT MUHAMMADU BUHARI, GCFR TO THE NATIONAL ASSEMBLY. 8TH OCTOBER, 2020..txt",budget,house,nigerian,must,president,proposal,thank,commitment,legislature,behalf,budget house  nigerian
1808,Nigeria Cannot Afford Luxuries During an Austerity. Atiku Abubakar Atiku Abubakar.txt,budget,nigeria,oil,price,slash,reduction,political,nation,revenue,federal,budget nigeria  oil
1809,Nigeria Cannot Afford Luxuries During an Austerity..txt,budget,nigeria,oil,price,slash,reduction,political,nation,revenue,federal,budget nigeria  oil
22," BABATUNDE RAJI FASHOLA, SAN AT THE PRESS BRIEFING ON NATIONAL INFRASTRUCTURE MAINTENANCE FRAMEWORK ON THURSDAY 31ST JANUARY 2019 AT FEDERAL MINISTRY OF POWER, WORKS AND HOUSING HEADQUARTERS MABUSHI, ABUJA.txt",buildings,maintenance,people,federal,public,living,government,must,nigeria,data,buildings maintenance  people
2567,"TEXT OF THE SPEECH DELIVERED BY H.E, BABATUNDE RAJI FASHOLA, SAN AT THE PRESS BRIEFING ON NATIONAL INFRASTRUCTURE MAINTENANCE FRAMEWORK ON THURSDAY 31ST JANUARY 2019 AT FEDERAL MINISTRY OF POWER, WORKS AND HOUSING HEADQUARTERS MABUSHI, ABUJA.txt",buildings,maintenance,people,federal,public,government,living,must,nigeria,data,buildings maintenance  people
1074,Finding Your Own Vision delivered by ARNO RAFAEL MINKKINEN.txt,bus,work,years,one,made,see,way,three,become,art,bus work  years
1075,Finding Your Own Vision.txt,bus,work,years,one,made,see,way,three,become,new,bus work  years
2868,Welcome Address at the Meeting with State Governors of Cassava Producing States and Signing of MOU Between Nigeria Cassava Growers Association & Large Scale Cassava Processors..txt,cassava,nigeria,production,value,processing,chain,million,demand,mt,towards,cassava nigeria  production
2869,Welcome Address at the Meeting with State Governors of Cassava Producing States and Signing of MOU Between Nigeria Cassava Growers Association & Large Scale Cassava Processors.txt,cassava,nigeria,production,value,processing,chain,million,demand,mt,towards,cassava nigeria  production
1051,FULL SPEECH OF MR PRESIDENT ON DEMOCRACY DAY.txt,chief,democracy,us,democratic,shall,years,among,national,never,military,chief democracy  us
2045,"President Bola Tinubu on Wednesday, June 12, 2024, delivered his second Democracy Day speech..txt",chief,democracy,us,democratic,shall,years,among,national,let,never,chief democracy  us
757,"Brigadier Murtala Ramat Muhammed's Inaugural Address Following the Overthrow of General Gowon – July 29, 1975.txt",chief,general,government,brigadier,new,armed,also,federal,colonel,council,chief general  government
1202,"General Gowon is Overthrown: Maiden Speech of Brigadier Murtala Ramat Muhammed,  July 29, 1975.txt",chief,general,government,brigadier,new,armed,also,federal,colonel,council,chief general  government
75," Maiden Speech of Brigadier Murtala Ramat MuhaJuly 29, 1975.txt",chief,general,government,brigadier,new,armed,also,federal,colonel,military,chief general  government
1203,"General Gowon is Overthrown: Maiden Speech of Brigadier Murtala Ramat Muhammed, July 29, 1975.txt",chief,general,government,brigadier,new,armed,also,federal,colonel,council,chief general  government
1673,"Maiden Speech of Brigadier Murtala Ramat Muhammed, July 29, 1975.txt",chief,general,government,brigadier,new,armed,also,federal,colonel,council,chief general  government
76, Maiden Speech of Brigadier Murtala Ramat Muhammed.txt,chief,general,government,brigadier,new,armed,also,federal,colonel,council,chief general  government
1651,Lt.-Col. Effiong Announces Surrender of Biafra.txt,chief,government,people,mr,suffering,help,military,armed,forces,thank,chief government  people
2646,"The Civil War is Over. Broadcast by (Biafran) Major-General Phillip Effiong on Monday,  January 12, 1970.txt",chief,government,people,suffering,help,military,armed,forces,peaceful,thank,chief government  people
2648,The Civil War is Over. Broadcast by (Biafran) Major-General Phillip Effiong.txt,chief,government,people,suffering,help,military,armed,forces,peaceful,thank,chief government  people
2722,"The struggle has reached its conclusion. - Major-General Phillip Effiong (January 12, 1970).txt",chief,government,people,suffering,help,military,armed,forces,peaceful,thank,chief government  people
2647,"The Civil War is Over. Broadcast by (Biafran) Major-General Phillip Effiong on Monday, January 12, 1970.txt",chief,government,people,suffering,help,military,armed,forces,peaceful,thank,chief government  people
2325,"SPEECH OF GENERAL ABDULSALAM ABUBAKAR AFTER THE DEATH OF MKO ABIOLA - JULY 8, 1998.txt",chief,one,national,abiola,government,address,must,autopsy,fellow,leadership,chief one  national
2326,"SPEECH OF GENERAL ABDULSALAM ABUBAKAR AFTER THE DEATH OF MKO ABIOLA – JULY 8, 1998.txt",chief,one,national,abiola,government,address,must,autopsy,fellow,leadership,chief one  national
1173,"GENERAL ABDULSALAM ABUBAKAR AFTER THE DEATH OF MKO ABIOLA-JULY 8,1998.txt",chief,one,national,abiola,government,address,must,autopsy,fellow,leadership,chief one  national
8," ABDUL SALAM ABUBAKAR AFTER THE DEATH OF MKO ABIOLA – JULY 8, 1998.txt",chief,one,national,abiola,government,address,must,autopsy,fellow,leadership,chief one  national
2960,speech of General Abdulsalam Abubakar.txt,chief,one,national,abiola,government,address,must,autopsy,fellow,leadership,chief one  national
1572,Keynote Speech Delivered by Dr. Akinwumi A. Adesina.txt,cities,african,development,urban,million,bank,africa,support,greater,access,cities african  development
1571,"Keynote Speech Delivered by Dr. Akinwumi A. Adesina, President, African Development Bank Group, at the launch of the African Mayoral Leadership Initiative (AMALI), 23 January 2023.txt",cities,african,development,urban,million,bank,africa,support,greater,access,cities african  development
2273,"SPEECH BY HIS EXCELLENCY, PROF. YEMI OSINBAJO, SAN, GCON, IMMEDIATE PAST VICE PRESIDENT OF NIGERIA ON  “CLIMATE POSITIVE GROWTH: AFRICA AS A CLIMATE ACTION PARTNER FOR THE UAE AND THE WORLD”, AT NEW YORK UNIVERSITY (NYU) ABU DHABI CAMPUS, UAE, ON THE 5TH OF DECEMBER, 2023.txt",climate,energy,africa,countries,global,renewable,african,carbon,gas,need,climate energy  africa
831,"COP28: Speech On Climate Positive Growth At New York University, Abu Dhabi Campus, UAE.txt",climate,energy,africa,countries,global,renewable,african,carbon,gas,need,climate energy  africa
2274,"SPEECH BY HIS EXCELLENCY, PROF. YEMI OSINBAJO, SAN, GCON, IMMEDIATE PAST VICE PRESIDENT OF NIGERIA ON  “CLIMATE POSITIVE GROWTH: AFRICA AS A CLIMATE ACTION PARTNER FOR THE UAE AND THE WORLD”, AT NEW YORK UNIVERSITY (NYU) ABU DHABI CAMPUS, UAE.txt",climate,energy,africa,countries,global,renewable,african,carbon,gas,need,climate energy  africa
1270,Governor Seyi Makinde’s Lecture Titled ‘The Global Climate Challenge and Governance: The Oyo State Experience’.txt,climate,oyo,global,state,security,people,waste,project,challenge,flooding,climate oyo  global
1269,Governor Seyi Makinde’s Lecture Titled ‘The Global Climate Challenge and Governance: The Oyo State Experience.txt,climate,oyo,global,state,security,people,waste,project,challenge,flooding,climate oyo  global
1267,Governor Seyi Makinde’s Lecture Titled The Global Climate Challenge and Governance: The Oyo State Experience.txt,climate,oyo,global,state,security,people,waste,challenge,flooding,flood,climate oyo  global
148, Seyi Makinde’s Lecture Titled ‘The Global Climate Challenge and Governance: The Oyo State Experience’.txt,climate,oyo,global,state,security,people,waste,project,challenge,flooding,climate oyo  global
2352,"STATEMENT BY HIS EXCELLENCY, MUHAMMADU BUHARI, PRESIDENT OF THE FEDERAL REPUBLIC OF NIGERIA, ON THE OCCASION OF THE MAJOR ECONOMIES FORUM ON ENERGY AND CLIMATE CHANGE (MEF), HOSTED BY THE US PRESIDENT, FRIDAY, 17 JUNE 2022..txt",climate,per,cent,change,gas,reduction,energy,methane,also,global,climate per  cent
2060,President Buhari’s Speech at the Major Economies Forum on Energy and Climate Change (MEF) Hosted by US President.txt,climate,per,cent,change,nigeria,gas,reduction,energy,carbon,methane,climate per  cent
72," MESSAGE BY THE HEAD OF UNDP NIGERIA NORTH-EAST SUB-OFFICE, MIZUKO YOKOI AT THE ENTRY DIALOGUE AND STAKEHOLDERS CONSULTATIVE WORKSHOP ON RECONCILIATION, TRANSITIONAL AND RESTORATIVE JUSTICE IN BORNO, ADAMAWA AND YOBE STATE.txt",community,would,like,transitional,justice,thank,state,sustainable,resolution,effective,community would  like
1179,"GOODWILL MESSAGE BY THE HEAD OF UNDP NIGERIA NORTH-EAST SUB-OFFICE, MIZUKO YOKOI AT THE ENTRY DIALOGUE AND STAKEHOLDERS CONSULTATIVE WORKSHOP ON RECONCILIATION, TRANSITIONAL AND RESTORATIVE JUSTICE IN BORNO, ADAMAWA AND YOBE STATE.txt",community,would,like,transitional,justice,thank,state,sustainable,resolution,effective,community would  like
1404,"INAUGURAL ADDRESS DELIVERED BY PROF. CHARLES SOLUDO, GOVERNOR OF THE CENTRAL BANK OF NIGERIA AT THE INAUGURATION OF THE CONSULTATIVE COMMITTEE ON BANKING SECTOR CONSOLIDATION.txt",consolidation,banking,reform,banks,committee,sector,address,made,stakeholders,us,consolidation banking  reform
1403,"INAUGURAL ADDRESS DELIVERED BY PROF. CHARLES SOLUDO, GOVERNOR OF THE CENTRAL BANK OF NIGERIA AT THE INAUGURATION OF THE CONSULTATIVE COMMITTEE ON BANKING SECTOR CONSOLIDATION ON THURSDAY, 16TH JUNE 2005..txt",consolidation,banking,reform,banks,committee,sector,address,made,stakeholders,us,consolidation banking  reform
1520,"KEYNOTE ADDRESS BY HIS EXCELLENCY, MR. AKINWUNMI AMBODE, GOVERNOR OF LAGOS STATE AT THE INAUGURATION OF THE BOARD OF THE LAGOS STATE CONSUMER PROTECTION AGENCY ON 3RD JANUARY, 2018 AT THE STATE HOUSE, IKEJA.﻿.txt",consumer,member,lagos,agency,state,protection,commercial,board,satisfaction,value,consumer member  lagos
11," ADDRESS BY HIS EXCELLENCY, MR. AKINWUNMI AMBODE, GOVERNOR OF LAGOS STATE AT THE INAUGURATION OF THE BOARD OF THE LAGOS STATE CONSUMER PROTECTION AGENCY ON 3RD JANUARY, 2018 AT THE STATE HOUSE, IKEJA.﻿.txt",consumer,member,lagos,agency,state,protection,commercial,board,satisfaction,value,consumer member  lagos
1622,Lai Mohammed Full Speech At The 2018 Creative Industry Summit..txt,content,creative,media,tv,industry,television,video,nigeria,want,percent,content creative  media
1119,Full Speech: Lai Mohammed At The Creative Nigeria Conference 2018.txt,content,creative,media,tv,industry,television,video,nigeria,want,digital,content creative  media
23," BOSS MUSTAPHA, SECRETARY TO THE GOVERNMENT OF THE FEDERATION, AT THE VALEDICTORY LECTURE OF RETIRING CORPS MARSHAL OF FRSC, DR. BOBOYE OYEYEMI, MFR,MNI,NPoM, AT THE NATIONAL JUDICIARY INSTITUTE (NJI), JABI, HOLDING ON 21ST JULY, 2022 REMARKS.txt",corps,safety,road,frsc,federal,outgoing,marshal,boboye,administration,leadership,corps safety  road
2143,"REMARKS BY SGF AT THE LECTURE OF RETIRING FRSC CORPS MARSHAL, BOBOYE OYEYEMI.txt",corps,safety,road,frsc,federal,outgoing,marshal,boboye,administration,leadership,corps safety  road
2129,"REMARKS BY BOSS MUSTAPHA, SECRETARY TO THE GOVERNMENT OF THE FEDERATION, AT THE VALEDICTORY LECTURE OF RETIRING CORPS MARSHAL OF FRSC, DR. BOBOYE OYEYEMI, MFR,MNI,NPoM, AT THE NATIONAL JUDICIARY INSTITUTE (NJI), JABI, HOLDING ON 21ST JULY, 2022.txt",corps,safety,road,frsc,federal,outgoing,marshal,boboye,administration,leadership,corps safety  road
1030,"Evo Morales: United, the developing countries can save the world.txt",countries,conference,climate,world,mother,developed,change,developing,rights,peoples,countries conference  climate
2959,"speech by Bolivian President Evo Morales to a meeting of the G77 and China, .txt",countries,conference,climate,developed,mother,developing,peoples,greenhouse,emissions,must,countries conference  climate
1606,"LECTURE DELIVERED BY HIS EXCELLENCY, PROF. YEMI OSINBAJO, SAN, GCON, THE IMMEDIATE PAST VICE PRESIDENT OF THE FEDERAL REPUBLIC OF NIGERIA AT THE ACCESS BANK’S GUEST LECTURE SERIES THEMED “THE FUTURE OF WORK AND ADAPTING TO A CHANGING LANDSCAPE” IN LAGOS ON THE 28TH OF MARCH, 2024.txt",countries,gas,ai,global,one,financial,africa,climate,oil,hydrogen,countries gas  ai
2662,The Future Of Work And Adapting To A Changing Landscape” – Access Bank’s Guest Lecture Series.txt,countries,gas,ai,global,one,financial,africa,climate,oil,hydrogen,countries gas  ai
1607,"LECTURE DELIVERED BY HIS EXCELLENCY, PROF. YEMI OSINBAJO, SAN, GCON, THE IMMEDIATE PAST VICE PRESIDENT OF THE FEDERAL REPUBLIC OF NIGERIA AT THE ACCESS BANK’S GUEST LECTURE SERIES THEMED “THE FUTURE OF WORK AND ADAPTING TO A CHANGING LANDSCAPE”.txt",countries,gas,ai,global,one,financial,africa,climate,oil,hydrogen,countries gas  ai
554,"Address by His Excellency President Olusegun Obasanjo, President of the Federal Republic of Nigeria and Chairman of the G-77, At the South Summit April 12, 2000, Havana, Cuba.txt",countries,must,economic,international,south,development,global,developing,cooperation,summit,countries must  economic
555,"Address by His Excellency President Olusegun Obasanjo, President of the Federal Republic of Nigeria and Chairman of the G-77, At the South Summit.txt",countries,must,economic,international,south,development,global,developing,cooperation,summit,countries must  economic
372,"A Fairer Global Order Address by President Olusegun Obasanjo At the South Summit April 12, 2000, Havana, Cuba.txt",countries,must,economic,international,south,development,global,developing,cooperation,summit,countries must  economic
370,"A Fairer Global Order Address by His Excellency President Olusegun Obasanjo, President of the Federal Republic of Nigeria and Chairman of the G-77, At the South Summit April 12, 2000, Havana, Cuba.txt",countries,must,economic,south,global,international,developing,debt,summit,development,countries must  economic
2086,President Olusegun Obasanjo Address to G77 South Summit in Havana Cuba 2003.txt,countries,must,economic,south,international,global,summit,development,developing,cooperation,countries must  economic
371,"A Fairer Global Order Address by His Excellency President Olusegun Obasanjo, President of the Federal Republic of Nigeria and Chairman of the G-77, At the South Summit.txt",countries,must,economic,international,south,development,global,developing,cooperation,summit,countries must  economic
668,Atiku Abubakar's Development and Nation-Building for Nigeria’s Future.txt,country,development,would,years,states,one,make,people,federal,book,country development  would
949,Development and Nation-Building for Nigeria’s Future Atiku Abubakar Atiku Abubakar.txt,country,development,would,years,states,one,make,people,book,nigerians,country development  would
950,Development and Nation-Building for Nigeria’s Future.txt,country,development,would,years,states,one,make,people,federal,book,country development  would
1117,Full Speech: Atiku speaks on Tinubu’s academic records.txt,country,us,government,people,leaders,citizens,issues,elective,legitimate,leadership,country us  government
680,Atiku’s press conference on Tinubu’s academic records.txt,country,us,government,people,leaders,citizens,issues,elective,legitimate,leadership,country us  government
681,Atiku’s speech at press conference on Tinubu’s CSU record saga.txt,country,us,government,people,leaders,citizens,issues,elective,legitimate,leadership,country us  government
1137,Full speech of Peter Obi’s press conference on Supreme Court verdict.txt,court,supreme,new,nigeria,judgment,nigerians,national,ruling,presidential,election,court supreme  new
2018,Peter Obi Speech: Our democracy is the victim..txt,court,supreme,new,nigeria,judgment,nigerians,national,ruling,presidential,election,court supreme  new
2021,Peter Obi’s Response To Supreme Court Judgement.txt,court,supreme,new,nigeria,judgment,nigerians,national,ruling,presidential,election,court supreme  new
2023,Peter Obi’s full speech: Our democracy is the victim.txt,court,supreme,new,nigeria,judgment,nigerians,national,ruling,presidential,election,court supreme  new
2983,“Creativity in Management”.txt,creative,one,creativity,many,take,get,open,mode,way,people,creative one  creativity
904,Creativity in Management.txt,creative,one,creativity,many,take,get,open,mode,way,people,creative one  creativity
2259,SPEECH AT FIRST ANNUAL NIGERIAN CULTURAL DAY.txt,cultural,nigerian,history,art,culture,one,nigeria,works,us,world,cultural nigerian  history
2258,SPEECH AT FIRST ANNUAL NIGERIAN CULTURAL DAY .txt,cultural,nigerian,history,art,culture,one,nigeria,works,us,world,cultural nigerian  history
2859,We Must Keep Nigeria Financially Solvent For Future Generations..txt,debt,revenue,nigeria,government,may,federal,cannot,alarm,ratio,reduce,debt revenue  nigeria
2858,We Must Keep Nigeria Financially Solvent For Future Generations. Atiku Abubakar Atiku Abubakar.txt,debt,revenue,nigeria,government,may,federal,cannot,alarm,ratio,reduce,debt revenue  nigeria
105, President Buhari’s Democracy Day Speech.txt,democracy,must,day,nigerians,june,peaceful,security,last,ensure,us,democracy must  day
2058,President Buhari’s Democracy Day Speech.txt,democracy,must,day,nigerians,june,peaceful,security,last,ensure,us,democracy must  day
2596,"THE SPEECH OF TH E VICE-CHANCELLOR, PROFESSOR IBIYEMI IBILOLA OLATUNJI-BELLO AT THE 5TH LECTURE SERIES OF THE LAGOS STATE UNIVERSITY, DIRECTORATE OF ADVANCEMENT (LASUDA), HELD AT 3-IN-1 LECTURE THEATRE ON THE 9TH OF DECEMBER.txt",directorate,university,today,esteemed,staff,medical,lasu,one,lagos,state,directorate university  today
2597,"THE SPEECH OF THE VICE-CHANCELLOR, PROFESSOR IBIYEMI IBILOLA OLATUNJI-BELLO AT THE 5TH LECTURE SERIES OF THE LAGOS STATE UNIVERSITY, DIRECTORATE OF ADVANCEMENT (LASUDA), HELD AT 3-IN-1 LECTURE THEATRE ON THE 9TH OF DECEMBER.txt",directorate,university,today,esteemed,staff,medical,lasu,one,lagos,state,directorate university  today
254,"(1959) NNAMDI AZIKIWE HONORS KWAME NKRUMAH ON HIS VISIT TO EASTERN NIGERIA POSTED ONSEPTEMBER 2, 2009.txt",dr,nkrumah,house,independent,ghana,states,first,history,welcome,prime,dr nkrumah  house
255,(1959) NNAMDI AZIKIWE HONORS KWAME NKRUMAH ON HIS VISIT TO EASTERN NIGERIA.txt,dr,nkrumah,house,independent,ghana,states,first,history,welcome,prime,dr nkrumah  house
