,Filepath,0,1,2,3,4,5,6,7,8,9
108,2016adetokunboedmundavphd.txt,stories,nigeria,news,media,british,africa,nigerian,negative,rebranding,study
109,20180717-buh-speech.txt,court,international,icc,president,muhammadu,buhari,nigeria,criminal,also,crimes
110,2020 Nigeria Country Update (1).txt,religious,freedom,state,nigeria,government,violations,religion,nigerian,also,policy
111,2020 Nigeria Country Update.txt,religious,freedom,state,nigeria,government,violations,religion,nigerian,also,policy
112,2022-journal-of-african-elections-v21n2-two-decades-democracy-nigeria-consolidation-regression-eisa.txt,party,political,election,elections,democracy,nigeria,democratic,electoral,parties,general
113,2022etoisuna.txt,ati,ti,eto,awon,owo,isuna,odun,fun,idagbasoke,ni
114,2023-Budget-Speech-by-President-Muhammadu-Buhari.txt,budget,government,trillion,revenue,fiscal,national,naira,federal,finance,oil
115,"2027: FG, presidency dismiss Atiku, Obi’s planned alliance.txt",atiku,presidential,president,obi,pdp,party,political,also,meeting,alliance
116,"2027: Planned mega party on course, says Utomi.txt",political,nigeria,mega,parties,party,said,utomi,people,country,must
117,2109.00198v1.txt,system,school,information,student,management,figure,data,college,systems,quality
118,2183-2874-1-PB.txt,tourism,religious,faith,people,based,nigeria,one,okolo,nwankwor,travel
119,2301_sipri_rpp_food_insecurity_in_africa_0.txt,food,climate,conflict,africa,security,global,change,insecurity,world,per
120,234642043.txt,reading,research,culture,students,teachers,nigerian,poor,education,nigeria,among
121,234646513.txt,stock,market,economic,growth,development,capital,nigerian,e,issn,economy
122,234650863.txt,mental,health,rights,mentally,persons,ill,human,stigma,law,illness
123,234673753.txt,women,yoruba,religious,also,men,role,social,economic,woman,male
124,234681691.txt,tax,compliance,revenue,taxpayer,assessment,self,rate,enforcement,generation,income
125,234694608.txt,music,mus,african,c,nigerian,musical,education,curriculum,e,traditional
126,234695079.txt,tax,revenue,taxation,point,mean,scale,taxes,income,state,e
127,236406681.txt,folk,medicine,igbo,traditional,health,igbos,medical,among,e,scientific
128,236409887-prostitution.txt,prostitution,women,sex,sexual,prostitutes,social,may,e,w,scientific
129,2389-Article Text-5776-6816-10-20240303.txt,fashion,design,ai,digital,technologies,journal,research,international,study,virtual
130,24.txt,security,nigeria,oil,public,country,threats,national,boko,review,administration
131,"25 dead, 53 injured in Kano auto accident – FRSC.txt",said,kano,sector,confirmed,incident,trailer,occurred,vehicle,commander,ibrahim
132,2589-Article Text-8495-1-10-20220627.txt,origin,issn,people,igbo,yoruba,african,bini,th,story,stories
133,2677-Article Text-8824-1-10-20220703.txt,igbo,studies,african,journal,parts,e,migration,cultural,people,new
134,26836408_015_01_s005_text1Gospeltainment-MusicandProfitinNigeria.txt,music,gospel,nigerian,musicians,church,popular,nigeria,religious,african,christian
135,292-Research Paper-598-1-10-20180928 (1).txt,music,education,nigeria,national,social,album,albums,musicians,nigerian,political
136,2994857.txt,ywritin,gproces,g,writin,sabou,e,lstudent,estudent,l,gfeedbac
137,2_Steps_To_Six_Pack_Abs.txt,ab,six,pack,abs,different,aim,times,getting,step,important
138,3 Foods That Can Improve Your Chances of Longevity.txt,diet,incorporating,legumes,foods,longevity,leafy,greens,like,chances,berries
139,3 Longevity Habits to Include in Your Life Starting Today.txt,sleep,start,key,habit,way,longer,balanced,health,staying,longevity
140,3 Mindfulness Techniques You Can Use Today.txt,mindfulness,technique,mindful,way,stress,start,meditation,techniques,today,finding
141,3-74-Research+Article+(Final+Copy).txt,fashion,apparel,aesthetic,synthetic,qualities,apparels,expressive,good,clothing,among
142,3-Article Text-12-1-10-20200207.txt,ipob,social,media,contents,sm,journal,study,members,p,information
143,3.txt,money,politics,political,form,party,elections,nomination,presidential,effects,aspirants
144,30-Article Text-61-1-10-20210531.txt,banditry,bandits,security,state,retrieved,northwest,people,kill,nigeria,attacks
145,30827_modestproposal.txt,would,one,thousand,upon,number,may,great,children,therefore,well
146,35.txt,forest,deforestation,poverty,degradation,forests,water,nigeria,causes,also,global
147,3626252.3630880.txt,ai,tools,programming,students,code,computing,education,learning,use,could
148,37b4c338a1a91161b180443f2c671df0f5d6.txt,development,communities,also,social,study,people,issn,oil,anambra,land
149,3_Blunders_To_Avoid_on_Your_Weight_Loss_Journey.txt,weight,loss,calories,eat,blood,sugar,get,eating,food,levels
150,3_D_s_of_sleeping_pills.txt,sleeping,sleep,pills,people,effects,get,use,may,take,work
151,3_Lessons_From_The_Biggest_Loser.txt,people,weight,biggest,watch,food,lessons,see,many,loss,make
152,3__Must_Do__-_Steps_To_A_Happier___Healthier_Day.txt,weight,help,loss,keep,time,eat,healthier,losing,extended,daily
153,42-76-1-SM.txt,yoruba,language,literature,literary,english,written,languages,paper,oral,journal
154,4731-9367-1-SM.txt,fashion,respondents,social,ict,research,access,youths,study,journal,anambra
155,4817264.txt,information,internet,library,may,education,access,technology,national,students,educational
156,484952210-The-Abatim-of-the-Efik-Kingdom-A-Reference-Note-on-Eniong-Abatim-Etubomship-Rulership-Settings-Vol-1-Nkebem-Nkebem.txt,chief,eniong,ikpeme,efik,abatim,family,people,ekpenyong,house,nkebem
157,488390744 ikorodu history.txt,olisa,ikorodu,lagos,oko,benin,first,lasunwon,area,people,oloja
158,4_13_24_Moreno.txt,english,writing,spanish,researchers,research,difficulty,ra,perceived,proficiency,academic
159,5.7-AAso Ebi.txt,aso,ebi,social,cultural,culture,values,yoruba,dress,practice,economic
160,50 The Holy Ghost The Great Teacher.txt,truth,us,e,god,know,holy,may,spirit,shall,great
161,5014-9933-1-SM.txt,music,industry,nigerian,artists,nigeria,musical,international,journal,arts,social
162,52 Free Will A Slave.txt,e,christ,come,life,man,would,god,might,unto,one
163,58906911.txt,stock,e,financial,th,markets,n,econom,market,co,nº
164,60e26e454ddf0bc7acfe79ffcde17271.txt,ai,healthcare,artificial,intelligence,data,patient,medical,health,system,boon
165,659-Article Text-1088-1-10-20210810.txt,yoruba,identity,african,one,people,philosophy,political,origin,issn,філософія
166,6598525.txt,nigeria,state,government,e,south,political,th,federal,north,oil
167,680147802.txt,advertising,online,newspaper,media,newspapers,per,internet,finn,olesen,informative
168,71-year-old landlord arrested for impregnating tenant’s teenage daughter.txt,state,police,said,girl,teenager,arrested,defiling,bathroom,landlord,medical
169,71_ng_en_24.txt,nigeria,united,international,development,nations,global,also,climate,terrorism,efforts
170,740-Article Text-1489-1-10-20220910.txt,war,nigerian,biafran,biafra,civil,government,propaganda,military,nigeria,international
171,747-3034-1-PB.txt,milk,dairy,production,oxytocin,et,goat,kambing,goats,dan,kids
172,773-Article Text-1418-1-10-20180101.txt,political,restructuring,south,niger,nigeria,state,delta,national,nigerian,social
173,79-789.txt,school,leadership,effective,improving,learning,development,leaders,successful,management,schools
174,797858B40912.txt,traditional,healing,psychiatric,health,igbo,care,victim,healers,spirit,also
175,8. Mamta Srivastava.txt,gandhi,thoreau,essay,civil,resistance,satyagraha,passive,indian,mahatma,south
176,8.full.txt,epigenetic,mechanisms,health,social,gene,exposure,epigenetics,expression,also,general
177,80% of AI decision makers are worried about data privacy and security.txt,organisations,genai,business,data,analytics,ai,sas,increasing,lack,strategic
178,911-Article Text-2117-1-10-20220412.txt,forest,deforestation,respondents,strongly,agreed,et,disagreed,journal,study,causes
179,92220060303.txt,metal,metals,roof,runoff,dissolved,water,roofing,asbestos,roofs,nd
180,94c5a199e163c16be8be4edac150c342 (1).txt,education,educational,administration,nigeria,school,institutions,challenges,government,quality,primary
181,94c5a199e163c16be8be4edac150c342.txt,education,educational,administration,nigeria,school,institutions,challenges,government,quality,primary
182,9780008284688.txt,one,would,could,seemed,time,people,many,house,new,another
183,9780520340466_intro.txt,rhetoric,art,listening,one,political,like,way,human,introduction,subject
184,9780521862943_frontmatter.txt,nigeria,history,nigerian,university,matthew,toyin,military,became,falola,heaton
185,9781501722844.txt,one,many,petrarchism,also,petrarchan,poems,sonnet,may,like,love
186,9789027260598_306_324.txt,de,magazines,authors,articles,quoted,ideas,published,cultural,foreign,magazine
187,9ja hist..txt,nigeria,government,many,nigerian,also,state,areas,northern,federal,british
188,9ja women (1).txt,women,could,land,household,woman,many,role,nigerian,major,control
189,A CERTAIN King Dekun had a wife named Isokun who bore him no children.txt,baby,isokun,mother,king,great,one,disappeared,though,could,last
190,A CERTAIN King had engaged in a series of wars.txt,king,head,magicians,asked,three,charms,came,easily,magician,fell
191,A CERTAIN Yoruba King.txt,brother,king,one,made,lies,time,royal,gave,mother,law
192,A Call to Action Against Terrorism.txt,conflict,past,courage,great,together,much,nigerian,asked,national,different
193,A Call to Action for Nigeria.txt,every,nigerian,nigerians,many,nigeria,terrorists,seen,people,world,great
194,A Chilling Effect.txt,press,journalists,president,government,report,according,rights,state,journalist,last
195,A Creative Artificial Intelligence System to investigate user Experience.txt,emotion,emotional,system,based,art,cais,creative,user,affective,emotions
196,A Day With Seyi Makinde.txt,state,governor,oyo,ibadan,electricity,government,road,makinde,would,federal
197,A FAMOUS Olofin.txt,mouse,hut,without,die,olofin,return,famous,yoruba,imprisoned,enemies
198,A GOLDSMITH in a small village had ten sons.txt,ten,work,sons,time,skilful,old,man,made,another,father
199,A HANDSOME stranger.txt,stranger,would,came,leopard,handsome,could,never,village,maidens,one
200,A HISTORY OF NIGERIA -  Final.txt,military,biafra,war,gowon,federal,many,igbo,ojukwu,biafran,coup
201,A HISTORY OF NIGERIA Part 1.txt,nigeria,national,federal,country,many,regional,ethnic,power,region,political
202,A HISTORY OF NIGERIA Part 2.txt,nigerian,one,national,many,written,language,plays,characters,different,ethnic
203,A HISTORY OF NIGERIA Part 3.txt,percent,development,foreign,economic,regional,government,investment,fndp,nigerian,national
204,A HISTORY OF NIGERIA Part 4.txt,northern,region,federal,western,upga,npc,ag,government,would,percent
205,A HISTORY OF NIGERIA Part 5.txt,upga,election,nndp,western,ncnc,region,ag,seats,price,candidates
206,A Historical Survey of Playwriting by Women in Nigeria.txt,women,female,nigerian,playwrights,play,plays,society,political,gone,mad
207,A Lesson From History: AI Is Not Likely To Kill Jobs.txt,ai,use,could,system,using,mckinsey,talked,companies,senior,partner
208,A Look Back at the 1999 Election.txt,democratic,political,civilian,general,election,electoral,transition,years,military,party
209,A MAGICIAN once passed through a grove in the forest where a great many brown birds fluttered from tree to tree and filled the air with songs.txt,birds,magician,brown,beautiful,came,grove,great,tree,could,means
210,A MAN once brought home to his wife a very old cooking.txt,man,old,every,day,woman,pot,husband,young,cooking,use
211,A Minimalist Account of Interrogative Word Movement in Ibibio.txt,interrogative,movement,words,ibibio,word,ké,position,case,feature,language
212,A NOBLEMAN of Ile.txt,igbos,ifes,stream,ile,handsome,country,raids,battle,gods,offer
213,A Nation Under Siege: Our Response to Terrorism.txt,acts,good,freedom,business,federal,nigerian,nigeria,evil,help,way
214,A Reintroduction to Restructuring .txt,restructuring,constitutional,powers,first,nigerian,government,president,restoration,states,federal
215,A Review of Buchi Emecheta’s The Joys of Motherhood .txt,nnu,woman,buchi,ego,motherhood,love,joys,ona,women,could
216,A Study of Nigeria’s Opera Development and Composers.txt,opera,music,nigerian,art,composers,development,nigeria,study,within,operatic
217,A Study of Speech Acts in WhatsApp Conversations.txt,speech,acts,staﬀ,university,act,whatsapp,social,illocutionary,language,use
218,A discourse on the history and identity of the Isoko of the Niger Delta of Nigeria.txt,identities,uwomano,benjamin,according,localgovernment,traditions,communities,see,st,f
219,A former minister of aviation in Nigeria.txt,mr,sirika,former,daughter,minister,aviation,hadi,court,son,company
220,A little-known AI startup is behind Nigeria’s first government-backed LLM.txt,awarri,ai,rest,said,told,help,nigerian,data,would,build
221,A sociolinguistic analysis of slangy expressions in Nigerian pidgin[#528081]-650739.txt,nigerian,pidgin,language,slangy,data,means,slang,expressions,one,linguistic
222,A widow’s story .txt,day,would,right,happened,give,never,also,knew,love,turned
223,A-Historical-Review-of-the-Egun-Tribe-in-Badagry.txt,egun,badagry,history,people,ethnic,lagos,historical,issn,african,group
224,A-SPEECH-DELIVERED-BY-THE-PRESIDENT-OF-THE-UNIVERSITY-OF-NIGERIA-ALUMNI-ASSOCIATION.txt,university,nigeria,benin,honour,alumni,atu,ejoor,osaretin,kingsley,association
225,ABIKU BY J.P CLARK.txt,line,abiku,stay,step,lines,many,coming,going,several,baobab
226,ACCEPTANCE_SPEECH_OF_THE_58TH_PRESIDENT.txt,council,members,institute,ican,page,presidential,public,professional,nigeria,would
227,ACCESSTOLIGHTINGANDCOOKINGENERGYINNORTHERNNIGERIA-MARCH2024-FINAL.txt,cooking,lighting,charcoal,firewood,households,energy,use,adamawa,access,community
228,ACCORDING to another story.txt,leopard,hut,day,lady,round,according,another,dark,prowling,one
229,ACROSS a certain river a poor fisherman .txt,fisherman,basket,stranger,river,went,every,find,day,spoke,evening
230,ADA406482.txt,nigeria,military,general,government,nigerian,army,economic,major,available,foreign
231,ADDRESSING THE KANO EMIRATES’ DEBACLE.txt,traditional,justice,kano,state,rulers,appointment,authorities,last,chief,njc
232,AGF Takes Over Prosecution of Polaris Bank Staff.txt,account,alleged,polaris,bank,section,said,date,fraudulently,withdrew,sum
233,AGN elections hot up as Cornell Udofia eyes PR job.txt,udofia,man,ambassador,agn,one,cornell,many,people,great,actors
234,AI Anthropomorphism and Social Robots.txt,ai,nigeria,frameworks,development,used,data,gone,ethical,also,wrong
235,AI In Nigeria HostsArtificial Intelligence Summit In Lagos.txt,ai,financial,nigeria,lagos,unique,according,like,solutions,challenges,significant
236,AI Is A Beacon Of Hope And Potential Danger.txt,also,new,attacks,advanced,magdy,criminal,cybercriminals,tools,ai,like
237,AI adoption can boost economic growth.txt,ai,economic,economy,nigeria,per,policy,financial,according,future,quarter
238,AI and healthcare: How things look currently.txt,healthcare,ai,medical,data,care,health,help,professionals,way,analyse
239,AI at Work in Nigeria: Friend and Foe?.txt,genai,respondents,employees,work,technology,frontline,training,technologies,using,impact
240,AI could solve Nigeria’s ‘mis-banking’ problems- Damola Giwa ARM MD for Digital Banking.txt,financial,banking,problem,really,artificial,intelligence,technology,said,business,still
241,AI for a More Productive Agricultural Sector.txt,ai,nigeria,learning,personalised,healthcare,education,energy,traffic,ensure,future
242,AI helping find 'world's loneliest plant' a partner.txt,male,female,forest,known,species,one,plant,endangered,research,university
243,AI in HC eBook_F_sml_0.txt,ai,healthcare,health,data,clinical,patient,lenovo,learning,help,medical
244,AI in healthcare: additional courses.txt,university,health,ai,medical,taipei,digital,role,like,complex,data
245,AI may boost Nigeria’s economy by over $4bn.txt,ai,corporate,oriakhogba,ethical,business,governance,human,economic,opportunities,nigerian
246,AI patients admitted to training ward.txt,healthcare,mannequins,help,students,respond,range,designed,patients,used,train
247,AI solutions to Nigeria’s electricity woes.txt,power,ai,electricity,energy,grid,generation,used,demand,sector,regulatory
248,AI technology to help cut cancer waiting lists.txt,ai,help,nhs,cancer,summit,global,bletchley,technology,england,work
249,"AI to aid telecoms operators’ transformation, gains.txt",per,cent,ai,respondents,believe,traffic,revenue,survey,network,csps
250,AI tools open up a world of African languages.txt,language,african,learning,duolingo,languages,ai,zulu,local,market,online
251,AI will strengthen financial inclusion in Nigeria — Expert (Financial Inclusion).txt,financial,services,ai,inclusion,nigeria,percent,technology,investing,intelligence,sector
252,AI-in-health-huge-potential-huge-risks.txt,ai,health,solutions,oecd,data,use,risks,huge,risk,ing
253,AJPH.2017.304289.txt,biafra,humanitarian,health,biafran,french,e,nutritional,available,november,nigeria
254,AMAMIHE JOURNAL_19_4_8.txt,state,akpabioism,akpabio,politics,political,people,nigeria,department,socio,uncommon
255,AN ANALYSIS OF SECONDARY EDUCATION IN NIGERIA:  A NEED FOR RETHINKING IN A PHILOSOPHICAL  PERSPECTIVE.txt,education,secondary,sector,national,schools,students,government,different,school,need
256,AP107.txt,yoruba,political,nationalism,nigerian,cultural,nigeria,colonial,many,ethnic,e
257,APC chieftain to Tinubu: Invest in blue economy to reduce reliance on crude oil.txt,blue,marine,economy,said,oyintiloye,chieftain,potential,sector,advertisement,sustainable
258,APC will retain Ondo in November governorship election — Aiyedatiwa.txt,governor,party,victory,said,aiyedatiwa,lucky,governorship,election,celebrate,people
259,ARIJENIWAA.F.2017PRELIMINARYPAGES.txt,pidgin,english,advertising,respondents,language,nigerian,research,communication,study,strongly
260,"ARTIFICIAL INTELLIGENCE: Risks, gains of revolutionary technology.txt",ai,nigeria,call,could,account,artificial,money,used,like,company
261,AS ‘OVULERIA’ EXITS THE STAGE.txt,nigerian,played,people,life,lizzy,one,television,role,called,know
262,ASE_CreationPV2002.txt,system,attractor,complex,ieee,butterfly,two,circuits,chaotic,respect,voltage
