,Filepath,0,1,2,3,4,5,6,7,8,9
29," CENTRAL BANK OF NIGERIA KEYNOTE ADDRESS BY Mr. Olayemi Cardoso Governor, Central Bank of Nigeria Delivered at the Chartered Institute of Bankers of Nigeria (CIBN) 58th Annual Bankers’ Dinner and Grand Finale of the Institute’s 60th Anniversary. Eko Hotels & Suites, Victoria Island, Lagos, November 24, 2023..txt",exchange,monetary,policy,economic,financial,market,percent,foreign,nigeria,growth
30," Declaration of Intention to Contest the 2019 Presidential Election  At the World Press Conference,  Musa Yar’Adua Conference Centre, Abuja  February 28, 2018..txt",leadership,nigeria,country,political,time,government,us,today,must,nigerians
31," Declaring Nigeria’s Independence by Nigeria’s First Prime Minister Alhaji Sir Abubakar Tafawa Balewa – October 1, 1960.txt",nigeria,today,shall,us,upon,representatives,must,independence,first,great
32, Declaring a Twelve State Structure for Nigeria.txt,military,states,federal,eastern,country,state,new,government,region,comprising
33, Doesn't Trust Your Intuition.txt,think,people,would,one,lot,know,make,like,feel,intuition
34," Dr. Akinwumi A. Adesina President, African Development Bank Group Inauguration Lecture for the New President of Nigeria 27 May 2023, Abuja, Nigeria.txt",nigeria,president,development,must,african,bank,tax,hope,support,new
35," Education and Development: Awolowo emphasized the importance of education as a tool for national development. He believed that investing in education was crucial for empowering the Nigerian populace and driving socio-economic progress. Awolowo's policies as a regional leader in the Western Region of Nigeria included significant investments in education, infrastructure, and healthcare..txt",education,building,every,leader,progress,lives,people,prosperous,future,knowledge
36, Elizabeth II's Address to the U.N. General Assembly..txt,united,nations,many,much,people,leadership,commonwealth,world,work,last
37," Ethnic Harmony: Awolowo worked tirelessly to bridge ethnic divides, advocating for understanding, tolerance, and mutual respect among Nigeria's diverse communities..txt",ethnic,build,mutual,diversity,common,let,source,national,us,harmony
38," Ex-Ogun gov, Amosun, declares for president.txt",mr,governor,state,former,amosun,national,human,president,contenders,minister
39," FG Pays Glowing Tribute To Late Banking Titan, Herbert Wigwe, Family.txt",shettima,season,bloomed,vp,vice,president,early,garden,long,chief
40," Factsheet: Why President Buhari is in Paris, France.txt",nigeria,climate,paris,president,summit,change,action,also,agreement,united
41, Farewell Speech by His Excellency President Muhammadu Buhari.txt,nigeria,nigerians,fellow,great,better,political,country,democracy,make,results
42, Farewell Speech by His Excellency President Muhammadu Buharii.txt,esteemed,significant,sense,democratic,collective,commitment,us,unwavering,nigeria,moment
43," Federalism: Awolowo ardently advocated for a federal system of governance, advocating for decentralized power to foster unity and development across Nigeria's diverse regions..txt",federalism,governance,power,matter,unity,development,nigeria,let,address,system
44, First Inaugural Address by President Bola Ahmed Tinubu .txt,shall,us,nation,nigeria,administration,must,policy,one,may,never
45," First Inaugural Address by President Bola Ahmed Tinubu Delivered on May 29, 2023 at the Eagle Square, Abuja.txt",shall,us,nation,nigeria,administration,must,policy,one,may,never
46, First Inaugural Address by President Bola Ahmed Tinubu.txt,shall,us,nation,nigeria,administration,must,policy,one,may,never
47, Full Text Of Atiku Abubakar's Speech At The LCCI .txt,economic,private,sector,development,infrastructure,growth,nigeria,policy,economy,government
48, GOVERNOR BABATUNDE RAJI FASHOLA SPEECH AT HARVARD UNIVERSITY.txt,public,people,state,lagos,government,time,would,could,new,private
49," GOVERNOR OF STATE OF OSUN, MR. ADEGBOYEGA OYETOLA, AT THE PROGRAMME MARKING THE COMMENCEMENT OF SPECIAL COURT SESSION OF THE COURT OF APPEAL.txt",court,state,people,judiciary,democracy,appeal,government,welcome,lordships,particularly
50," George Washington, ""Resignation Speech"".txt",repeat,obligations,army,injustice,feelings,acknowledge,place,peculiar,services,distinguished
51, Governor Abdulfatah Ahmed Speech During His Declaration For 2nd Term Today.txt,state,kwara,new,across,second,greater,make,health,access,projects
52," Greatness Comes From Serving Others, Communities, Osinbajo Says at President’s NYSC Honours Awards.txt",national,nysc,young,youth,also,service,may,development,even,corps
53," HIS EXCELLENCY, MR AKINWUNMI AMBODE, GOVERNOR OF LAGOS STATE, ON THE OCCASION OF THE SECOND QUARTERLY TOWN HALL MEETING IN YEAR 2018  (THE ELEVENTH IN THE SERIES) HELD AT APAPA AMUSEMENT PARK ON TUESDAY APRIL 17, 2018.txt",lagos,state,road,across,also,residents,security,suggestions,make,city
54,PERMANENT SECRETARIES RETREAT.txt,must,one,lagos,progress,reforms,let,plans,smart,continuous,state
55, Hate Speech: All Is Not Well With Nigeria-Jerry Gana.txt,government,hate,embrace,cannot,people,must,society,speeches,ethnic,former
56," His Excellency Seyi Makinde, the Executive Governor of Oyo State, at the 85th Birthday Celebration of His Excellency Chief Bisi Akande held at the International Conference Centre, University of Ibadan, on Tuesday, 16 January 2024..txt",akande,state,one,federal,baba,power,government,let,may,already
57, How Not To Talk With Africa About Climate Change .txt,africa,climate,western,energy,world,gas,governments,adaptation,developing,continent
58, How Not To Talk With Africa About Climate Change By Muhammadu Buhari.txt,africa,climate,western,energy,world,gas,governments,adaptation,developing,continent
59," In Lome, President Buhari Seeks Regional Security Architecture for West and Central Africa.txt",security,ecowas,president,leaders,ø,african,setting,countries,also,year
60," In Maiden Speech at AU, President Tinubu Affirms Africa’s Unity and Strength, Rejects Notion of New Scramble for Continent.txt",ecowas,president,tinubu,regional,african,free,trade,economic,integration,past
61," Inaugural Address as President of Nigeria (May 29, 1999).txt",government,public,must,shall,nigeria,help,good,ensure,nigerians,military
62, Independence Day Speech by President Buhari on the Occasion of Nigeria 61st Independence Anniversary.txt,nigerians,nigeria,also,government,security,national,continue,development,nigerian,sector
63," Industrialization: Awolowo promoted industrialization as a means to diversify Nigeria's economy, create jobs, and reduce dependency on imports..txt",economic,industrialization,let,resources,building,opportunities,requires,us,future,creating
64," Infrastructure Development: Recognizing the importance of infrastructure, he pushed for investments in roads, electricity, and other critical infrastructure to facilitate economic growth..txt",infrastructure,development,economic,also,investments,needs,must,quality,life,energy
65, International Relations: He advocated for a principled and assertive foreign policy that safeguarded Nigeria's interests while fostering cooperation with the international community..txt,must,foreign,interests,policy,nation,let,address,place,international,pursue
66," It is Time to Rethink, Re-Engineer Our Border Policies, Says VP Osinbajo at Boundary Management Retreat.txt",border,commission,boundary,issues,challenges,national,retreat,external,role,solutions
67, John L. Lewis' Labour Day Speech..txt,labour,nigerian,national,upon,must,workers,seeks,political,organization,collective
68," KEY STATEMENT OF THE HMSH, DR. OLORUNNIMBE MAMORA AT THE OCCASSION OF THE NATIONAL PRESENTATION, MINISTERIAL LAUNCH & DISSEMINATION OF THE NATIONAL HEALTH PROMOTION POLICY 2019 HELD MONDAY, 30TH NOVEMBER, 2020  Print.txt",health,promotion,policy,national,strategic,disease,well,implementation,honor,deliver
69, Keynote Address Delivered By The Deputy Governor At The State Media Summit.txt,education,school,state,students,teachers,public,government,policy,schools,osun
70," LECTURE DELIVERED BY HIS EXCELLENCY GOVERRNOR AKINWUNMI AMBODE, GOVERNOR OF LAGOS STATE ON TUESDAY, MAY 8, 2018 AT J.F. ADE AJAYI AUDITORIUM , UNIVERSITY OF LAGOS, AKOKA..txt",must,cannot,us,people,one,lagos,much,better,world,state
71, Lt-General Olusegun Obasanjo after the Execution of the Officers that Carried out the Abortive Dimka Coup of February 1976 (Speech Delivered May 1976).txt,government,military,yakubu,public,abortive,coup,british,nigerian,council,federal
72," MESSAGE BY THE HEAD OF UNDP NIGERIA NORTH-EAST SUB-OFFICE, MIZUKO YOKOI AT THE ENTRY DIALOGUE AND STAKEHOLDERS CONSULTATIVE WORKSHOP ON RECONCILIATION, TRANSITIONAL AND RESTORATIVE JUSTICE IN BORNO, ADAMAWA AND YOBE STATE.txt",community,would,like,transitional,justice,thank,state,sustainable,resolution,effective
73," MUHAMMADU BUHARI, PRESIDENT OF THE FEDERAL REPUBLIC OF NIGERIA, AT THE 3RD YEAR MINISTERIAL PERFORMANCE REVIEW RETREAT HELD AT THE STATE HOUSE CONFERENCE CENTRE, ABUJA ON 18TH OCTOBER, 2022.txt",government,national,health,implementation,projects,administration,nigeria,nigerian,delivery,petroleum
74, Mahmoud Ahmadinejad's UN Speech.txt,security,council,human,international,rights,world,justice,people,powers,members
75," Maiden Speech of Brigadier Murtala Ramat MuhaJuly 29, 1975.txt",chief,general,government,brigadier,new,armed,also,federal,colonel,military
76, Maiden Speech of Brigadier Murtala Ramat Muhammed.txt,chief,general,government,brigadier,new,armed,also,federal,colonel,council
77, Major-General Yakubu Gowon Declaring a Twelve State Structure for Nigeria – May 1967.txt,military,states,federal,eastern,country,state,new,government,region,comprising
78, Major-General Yakubu Gowon Declaring a Twelve State Structure for Nigeria.txt,military,states,federal,eastern,country,state,new,government,region,comprising
79," Making Nigeria a Global Industrial and Economic Giant - Keynote Lecture Delivered by Dr. Akinwumi A. Adesina, President, African Development Bank Group, Business Day CEO Forum, 13 July 2023, Lagos, Nigeria..txt",nigeria,manufacturing,industrial,power,global,investment,export,development,industries,skills
80," Marcus Tullius Cicero, ""The First Oration Against Catiline"".txt",shall,one,every,yet,put,good,acted,long,person,many
81, Mary Church Terrell's What It Means to be Colored speech..txt,fulani,igbo,abuja,woman,capital,people,without,unless,may,national
82, Mary Fisher's A Whisper of AIDS speech..txt,hiv,aids,young,one,children,want,good,give,believe,nation
83, Mr President’s Address at the Inaugural Meeting of the Presidential Committee on Fiscal Policy and Tax Returns.txt,government,tax,committee,fiscal,within,revenue,country,support,policy,end
84, My Speech at the 2015 Babcock University Post-Graduate Ceremony. Tony Elumelu.txt,bank,also,many,learned,next,one,like,postgraduate,could,world
85, My Welcome Address at the 2024 Heirs Holdings Group Directors’ Annual Summit.txt,hh,african,group,governance,impact,whose,corporate,united,board,opportunity
86, National Broadcast by President Buhari on Challenges of Currency Swap and State of the Nation.txt,money,cbn,new,administration,implementation,old,notes,economic,security,financial
87, Nigerian Workers Used Their Zeal and Sweat to Build Our Nation – Osinbajo.txt,labour,national,nigerian,progressive,social,must,movement,country,health,people
88, Obasanjo’s speech on his 85th birthday.txt,nigeria,africa,must,us,process,world,narrative,nation,people,one
89," Olubadan’s Ascension to the Throne is Preceded by his Abiding Dedication, Love for People – Osinbajo.txt",ibadan,olubadan,people,first,president,history,city,royal,also,indigenous
90, Our Tax Reforms Initiated For Overall Benefits Of Nigerians – VP Shettima.txt,tax,vice,system,revenue,generation,senator,reforms,administration,president,tinubu
91, PMS’s Speech at the Signing into Law the 2023 Appropriations Bill and 2022 Appropriations Bill.txt,national,budget,assembly,appropriation,fiscal,made,bill,implementation,enable,executive
92," PRESIDENT SHEHU SHAGARI ON OCTOBER 1, 1979.txt",shall,government,national,great,need,country,education,new,nigeria,building
93, PUBLIC TERTIARY EDUCATION: ROLES OF TERTIARY EDUCATION TRUST FUND (TETFund) AND ITS FUTURE FOR SUSTAINABLE DEVELOPMENT A paper presented by the Executive Secretary of the Tertiary Education Trust Fund (TETFund)- Arc. Sonny T. Echono at the Ahmadu Bello University Zaria Alumni Lecture September 2022.txt,education,tertiary,institutions,fund,public,research,across,academic,intervention,staff
94, PUBLIC TERTIARY EDUCATION: ROLES OF TERTIARY EDUCATION TRUST FUND (TETFund) AND ITS FUTURE FOR SUSTAINABLE DEVELOPMENT A paper presented by the Executive Secretary of the Tertiary Education Trust Fund (TETFund)- Arc. Sonny T. Echono at the Ahmadu Bello University Zaria September 2022.txt,education,tertiary,institutions,fund,public,research,across,academic,intervention,staff
95, Patrick Pearse's Ireland Unfree Shall Never Be at Peace speech.   .txt,men,us,imo,splendid,one,damilola,young,communion,think,name
96," Poverty Eradication and Investment Promotion for Wealth Creation Depend on Justice Reform, President Tinubu Declares at NBA Conference.txt",president,must,tinubu,poverty,country,nigeria,many,great,electricity,made
97, President Bola Tinubu on Nigeria’s 63rd independence day anniversary..txt,shall,nation,nigeria,also,us,would,better,must,may,new
98, President Buhari Commissions Projects in Taraba State.txt,kashimbila,hydropower,line,multipurpose,dam,water,project,also,supply,commend
99, President Buhari Commissions Projects in Taraba.txt,kashimbila,hydropower,line,multipurpose,dam,water,project,also,supply,commend
100," President Buhari Says Women, Girls Remain Integral to Development, Launches High-Level Advisory Council on Support.txt",women,empowerment,support,economic,girls,policy,president,project,especially,nigerian
101," President Buhari Summons Imo Governor, Power Minister, Economic Adviser.txt",president,imo,buhari,would,power,state,muhammadu,summoned,governor,hope
102, President Buhari on Challenges of Currency Swap and State of the Nation.txt,money,cbn,new,administration,implementation,old,notes,economic,security,financial
103, President Buhari’s Acceptance Speech of the 2021 Trophee Babachar Ndiaye.txt,african,trans,highway,nigeria,lagos,major,support,report,bridge,republic
104, President Buhari’s Address At His State Visit To Ebonyi State.txt,nigeria,south,one,ebonyi,also,people,state,east,development,nation
105, President Buhari’s Democracy Day Speech.txt,democracy,must,day,nigerians,june,peaceful,security,last,ensure,us
106, President Buhari’s Remarks at the PAGMI Special Briefing.txt,government,national,revenue,trillion,justice,federal,budget,also,naira,development
107, President Buhari’s Speech At The Unveiling Of The Theme And Logo for Nigeria’s 60th Anniversary Celebration.txt,us,diamond,would,logo,nigerians,choice,nigerian,anniversary,history,activities
108, President Buhari’s Speech During China- Africa Extraordinary Summit on Solidarity Against COVID-19 Pandemic.txt,president,also,nigeria,health,cooperation,africa,countries,response,global,support
109, President Buhari’s Speech During his Official Visit to Ogun State.txt,state,ogun,projects,people,road,gateway,federal,also,development,commission
110, President Buhari’s Speech at the 4th National Summit on Diminishing Corruption in the Public Sector.txt,education,corruption,government,federal,summit,sector,educational,public,also,institutions
111, President Buhari’s Speech at the Commissioning of Solar Power PV for Ministry of Works & Housing.txt,project,federal,solar,energy,public,housing,ministry,many,policy,works
112, President Buhari’s Speech at the Flag-Off of the Kano – Katsina – Jibiya – Maradi Rail Line.txt,line,rail,transportation,republic,niger,railway,kano,economic,port,country
113, President Buhari’s Speech at the Handing Over of Security Equipment by Governor of Lagos State to Lagos State Police Command.txt,police,security,lagos,state,let,trust,new,government,secure,force
114, President Buhari’s Speech at the Launch of the 2021 Armed Forces Remembrance Day Emblem and Appeal Fund.txt,security,armed,support,forces,day,veterans,nigerian,also,nigerians,continue
115, President Buhari’s Speech at the Launch of the Nigeria Jubilee Fellows Programme.txt,nigerians,programme,work,economic,support,opportunities,growth,sectors,skills,provide
116, President Buhari’s Speech at the Observance of the 19th National Productivity Merit (NPOM) Award.txt,education,national,educational,productivity,system,also,quality,government,universities,teachers
117, President Buhari’s Speech at the Signing of Electoral Bill 2022.txt,bill,political,section,electoral,constitutional,serving,office,holders,constitution,national
118, President Buhari’s Speech at the Unveiling of NNPC Limited.txt,petroleum,national,energy,nnpc,nigerian,company,oil,global,historic,creation
119, President Buhari’s Speech at the Valedictory Session for Appointees Leaving the Cabinet to Pursue Political Ambition.txt,cabinet,members,president,federal,nation,performance,nigerians,elective,would,wish
120, President Bush Addresses the Nation.txt,every,many,america,americans,american,terrorists,world,great,ask,freedom
121, President Muhammadu Buhari’s Address at the NEC Meeting of the APC Party.txt,party,us,national,must,let,new,members,elections,next,urge
122, President Muhammadu Buhari’s Speech at the General Debate of the 75th Session of UNGA.txt,united,nigeria,international,nations,development,coronavirus,human,also,global,national
123,President SIEMENS at the State House.txt,power,electricity,distribution,generation,economic,development,sector,supply,megawatts,transmission
124," President Tinubu Condemns bomb Attack in Borno State, Says Purveyors of Terror will Pay a Heavy Price.txt",president,tinubu,government,precious,borno,attacks,bola,strongly,condemns,bomb
125, President Tinubu Congratulates Senator Surajudeen Ajibola Basiru on Birthday.txt,president,national,secretary,progressives,senator,surajudeen,ajibola,chairman,committee,bola
126, President Tinubu Directs Mandatory Procurement of CNG-Powered Vehicles.txt,president,energy,members,drive,high,tinubu,directed,vehicles,council,back
127," President Tinubu to Corporate Nigeria: Hand in Hand with you, I Cannot Underperform for a Job I Campaigned for.txt",president,tinubu,support,nigeria,economy,private,sector,business,appreciate,air
128, President Tinubu's Speech On The Current Economic Challenges.txt,billion,economy,subsidy,money,also,economic,people,states,sector,fund
129, President Tinubu: Lagos-Calabar Coastal Highway will Revolutionize Transportation in Nigeria and Boost Tourism.txt,president,road,tinubu,nigeria,project,federal,lagos,also,must,government
130, President Tinubu’s Speech at the Occasion of the International Day for the Eradication of Poverty and the Flag–off of the Renewed Hope Conditional Cash Transfer.txt,hope,renewed,poverty,million,social,nigerians,programme,school,alleviation,vulnerable
131, Presidential Inaugural Address.txt,let,us,new,sides,pledge,shall,ask,president,fellow,freedom
132," Press Release: APC Stakeholders In Kano Endorse President Buhari, Ganduje For Second Term.txt",president,party,state,buhari,governor,members,kano,leaders,said,stakeholders
133, Press Release: EITI Commends VP Osinbajo For His Speech At Jakarta Conference.txt,eiti,nigeria,president,extractive,sector,implementation,continue,transparency,vice,osinbajo
134," Press Release: How new Pan-Africanist Businessmen, Women Are Driving Africa’s Economic Transformation, by VP Osinbajo in Harvard.txt",africa,vice,president,harvard,business,growth,economic,women,osinbajo,african
135," Press Release: Investing in our People, Key to Economic Growth, Says VP Osinbajo.txt",economic,growth,social,investment,gates,recovery,nigeria,scheme,school,buhari
136, Press Release: President Buhari Calls For Caution In Implementing ECOWAS Single Currency.txt,president,ecowas,monetary,african,currency,said,buhari,countries,single,union
137, Press Release: President Buhari to Seek Re-election in 2019.txt,president,buhari,national,executive,muhammadu,monday,abuja,declared,intention,seek
138," Prof. E.S Olarinde TEXT OF THE WELCOME ADDRESS BY THE VICE-CHANCELLOR OF AFE BABALOLA UNIVERSITY ADO-EKITI, PROF. E. SMARANDA OLARINDE FCI. ARB, FCAI, AT THE 13TH ANNIVERSARY OF COMMENCEMENT OF ACADEMIC ACTIVITIES IN THE UNIVERSITY HOLDEN ON WEDNESDAY, JANUARY 4, 2023 AT ALFA BELGORE HALL, AFE BABALOLA UNIVERSITY, ADO-EKITI, ABUAD..txt",university,college,students,academic,january,abuad,afe,us,new,founder
139, Progressing Kebbi State with Road Development.txt,kebbi,roads,road,birnin,state,us,shall,construction,economic,markets
140, Rapportueur-General's Report 2013.txt,economic,development,must,accountants,growth,conference,government,also,institute,president
141," Regional Bodies, Integration Key to Deepening Democracy in Africa – President Tinubu.txt",president,democracy,african,tinubu,said,democratic,africa,economic,regional,development
142, Remarks by VP Osinbajo at the 7th Presidential Quarterly Business Forum in Abuja.txt,corruption,talk,one,way,us,public,especially,even,already,expect
143," Resource Control: He championed equitable distribution of Nigeria's resources, advocating for regions to have control over their own resources to promote development and reduce inequalities..txt",resource,control,every,means,matter,region,nation,benefits,resources,let
144, Robert C. Weaver's The Negro as an American speech..txt,fulani,fulanies,south,less,values,many,among,upon,nigerians,must
145, Robert Emmet's Speech from the Dock..txt,us,great,told,would,treaty,made,make,igbo,different,president
146, Second-Term Speech.txt,service,us,nigerians,political,would,nigeria,never,many,still,public
147," Self-Regulation, Adoption of Ethical Codes can Help Preserve Media Credibility, Check Fake News- VP Osinbajo.txt",online,people,even,also,public,press,think,media,news,declare
148, Seyi Makinde’s Lecture Titled ‘The Global Climate Challenge and Governance: The Oyo State Experience’.txt,climate,oyo,global,state,security,people,waste,project,challenge,flooding
149," Speech by  His Excellency Atiku Abubakar Vice President of the Federal Republic of Nigeria May 2, 2005.txt",democracy,continue,ensure,important,international,people,american,shall,work,reform
150, Speech by Head of State Lt-General Olusegun Obasanjo after the Execution of the Officers that Carried out the Abortive Dimka Coup of February 1976 (Speech Delivered May 1976).txt,government,military,yakubu,public,abortive,coup,british,nigerian,council,federal
151, Speech by President Buhari at a Banquet .txt,lagos,projects,state,lekki,deep,federal,private,sea,economic,well
152, Speech by President Buhari at a Banquet During His 2-Day Visit .txt,lagos,projects,state,lekki,deep,federal,private,sea,economic,well
153, Speech by President Buhari at a Banquet During His 2-Day Visit to Lagos State.txt,lagos,projects,state,lekki,deep,federal,private,sea,economic,well
154, Speech by President Buhari at the Presentation of End-of-Year Report of the PTF on COVID-19.txt,health,national,sector,support,ptf,pandemic,also,must,taken,measures
155," Speech of President Olusegun Obasanjo, May 29, 1999.txt",public,government,must,shall,help,good,nigeria,ensure,corruption,us
156," Speech of President Umaru Yar’Adua. May 29, 2007.txt",us,must,let,president,one,set,fellow,government,also,country
157, Speech of Professor Wole Soyinka delivered to mark anniversary of Nigerian Civil War  .txt,african,human,even,two,us,nation,course,consider,humanity,wisdom
158," Speech: President Buhari At 9th Summit Of The D-8, Istanbul, Turkey.txt",trade,nigeria,wish,government,people,turkey,organization,committed,support,economic
159, Speech: President Buhari’s Remarks at FEC’s Special Retreat on Education held in Abuja.txt,education,summit,sector,quality,right,challenges,must,ministerial,functional,national
160, Speech: VP Osinbajo’s Address at UCH’s 60th Anniversary in Ibadan.txt,uch,health,university,medical,healthcare,first,college,must,management,private
161, Speech: VP Osinbajo’s Address at the Lagos Chambers of Commerce Event.txt,oil,gas,sector,industry,private,energy,policy,business,new,investment
162," Speech: Vice President Osinbajo At Financial Times Africa Summit, London.txt",africa,growth,african,investment,nigeria,business,sector,also,across,power
163,Road Project.txt,niger,bridge,federal,new,delta,nigeria,government,significant,every,projects
164," Statement The 69th Session of the UNGA Address by HE Sheikh Hasina Hon’ble Prime Minister Government of the People’s Republic of Bangladesh The United Nations New York 12 Ashwin 1421 , 27 September 2014.txt",development,bangladesh,global,peace,people,countries,women,government,un,us
165, THE SEARCH FOR A NEW POLITICAL ORDER.txt,political,bureau,order,would,new,search,government,debate,administration,well
166, Text of a National Broadcast .txt,government,nlc,would,nigerians,deregulation,labour,let,must,strike,sector
167, Text of a National Broadcast by President Olusegun Obasanjo.txt,government,nlc,would,nigerians,deregulation,labour,let,must,strike,sector
168," Text of the National Broadcast by President Tinubu to Nigerians on Current Economic Challenges July 31, 2023.txt",billion,economy,subsidy,money,also,economic,people,states,sector,fund
169, Thank You and Unite for Nigeria's Future.txt,proud,ibrahim,us,must,keep,thank,odunlade,remember,future,fellow
170," The Inaugural Speech of President Umaru Yar’Adua. May 29, 2007 in Nigeria.txt",us,must,let,president,one,set,fellow,government,also,country
171," The Inaugural Speech of President Umaru Yar’Adua. May 29, 2007.txt",us,must,let,president,one,set,fellow,government,also,country
172, The Most Loving Story.txt,jar,like,really,think,one,kind,would,adam,hate,go
173, Theodore Roosevelt's The Duties of American Citizenship speech..txt,one,man,good,must,men,political,duty,work,may,public
174, Theodore Roosevelt's The Man With the Muck-Rake speech..txt,man,public,men,good,evil,every,whether,great,business,muck
175, Tinubu’s inaugural speech as president.txt,shall,us,nation,nigeria,administration,must,policy,one,may,never
176, Two sides of the same coin: gender inequality and violence against women Opening Remarks .txt,violence,women,address,seen,also,need,gender,countries,many,challenge
177," University of Ibadan Commencement- Aug. 13, 2012.txt",believe,university,ibadan,creed,wise,must,hard,remember,choices,make
178, VC SICKLE CELL SPEECH.txt,cell,event,sickle,keynote,speaker,great,encourage,auspicious,university,society
179, VC Speech (NUC TEAM 2021).txt,university,accreditation,exercise,lagos,state,welcome,national,universities,commission,assist
